FCFS Simulation Log
Date: Tue Dec  9 06:18:32 2025
Time Limit: 1000 ms
Books: 71, Members: 20
Action 291: AT=107.90 ms, Type=REQUEST
Action 292: AT=107.90 ms, Type=APPROVE
Action 293: AT=108.60 ms, Type=REQUEST
Action 294: AT=109.30 ms, Type=REQUEST
Action 295: AT=110.30 ms, Type=ISSUE
Action 296: AT=110.30 ms, Type=RETURN
Action 297: AT=110.30 ms, Type=APPROVE
Action 298: AT=110.80 ms, Type=APPROVE
Action 299: AT=110.80 ms, Type=RETURN
Action 300: AT=110.80 ms, Type=ISSUE
Action 301: AT=111.30 ms, Type=REQUEST
Action 302: AT=111.30 ms, Type=REQUEST
Action 303: AT=112.30 ms, Type=RETURN
Action 304: AT=112.90 ms, Type=ISSUE
Action 305: AT=113.50 ms, Type=RETURN
Action 306: AT=113.50 ms, Type=APPROVE
Action 307: AT=114.30 ms, Type=ISSUE
Action 308: AT=114.90 ms, Type=ISSUE
Action 309: AT=115.70 ms, Type=REQUEST
Action 310: AT=116.50 ms, Type=REQUEST
Action 311: AT=117.10 ms, Type=REQUEST
Action 312: AT=117.10 ms, Type=ISSUE
Action 313: AT=118.10 ms, Type=APPROVE
Action 314: AT=118.10 ms, Type=RETURN
Action 315: AT=118.10 ms, Type=RETURN
Action 316: AT=118.80 ms, Type=APPROVE
Action 317: AT=118.80 ms, Type=APPROVE
Action 318: AT=119.80 ms, Type=RETURN
Action 319: AT=119.80 ms, Type=REQUEST
Action 320: AT=120.80 ms, Type=REQUEST
Action 321: AT=121.70 ms, Type=REQUEST
Action 322: AT=121.70 ms, Type=RETURN
Action 323: AT=122.40 ms, Type=APPROVE
Action 324: AT=123.00 ms, Type=REQUEST
Action 325: AT=123.00 ms, Type=RETURN
Action 326: AT=123.90 ms, Type=RETURN
Action 327: AT=124.50 ms, Type=RETURN
Action 328: AT=124.50 ms, Type=REQUEST
Action 329: AT=124.50 ms, Type=RETURN
Action 330: AT=125.00 ms, Type=ISSUE
Action 331: AT=125.00 ms, Type=RETURN
Action 332: AT=125.00 ms, Type=APPROVE
Action 333: AT=125.90 ms, Type=APPROVE
Action 334: AT=125.90 ms, Type=REQUEST
Action 335: AT=126.80 ms, Type=RETURN
Action 336: AT=126.80 ms, Type=RETURN
Action 337: AT=127.70 ms, Type=ISSUE
Action 338: AT=128.60 ms, Type=REQUEST
Action 339: AT=128.60 ms, Type=APPROVE
Action 340: AT=128.60 ms, Type=REQUEST
Action 341: AT=129.60 ms, Type=REQUEST
Action 342: AT=129.60 ms, Type=APPROVE
Action 343: AT=129.60 ms, Type=ISSUE
Action 344: AT=130.30 ms, Type=RETURN
Action 345: AT=130.30 ms, Type=RETURN
Action 346: AT=130.30 ms, Type=REQUEST
Action 347: AT=130.90 ms, Type=ISSUE
Action 348: AT=130.90 ms, Type=APPROVE
Action 349: AT=131.50 ms, Type=RETURN
Action 350: AT=131.50 ms, Type=APPROVE
Action 351: AT=131.50 ms, Type=REQUEST
Action 352: AT=132.30 ms, Type=ISSUE
